;;;;;;;;;;;
Provincia de Córdoba según departamentos. Total de viviendas, viviendas colectivas, viendas particulares, viviendas particulares ;;;;;;;;;;;
ocupadas, hogares y personas por sexo. Año 2010;;;;;;;;;;;
Departamento;Viviendas;;;;Viviendas particulares;;;Hogares;Personas;;
;Total;Viviendas colectivas;En situación de calle;Particulares;Habitadas;;Deshabitadas;;Total;Sexo;
;;;;;Moradores presentes;Moradores ausentes;;;;Varón;Mujer
Total Provincial;1.236.177;3.745;221;1.232.211;978.553;104.801;148.857;1.031.843;3.308.876;1.605.088;1.703.788
Calamuchita;27.781;468;1;27.312;16.270;2.704;8.338;16.915;54.730;27.330;27.400
Capital;473.025;454;154;472.417;383.594;44.233;44.590;414.237;1.329.604;634.341;695.263
Colón;74.273;204;9;74.060;60.380;4.778;8.902;63.780;225.151;110.176;114.975
Cruz del Eje;18.709;71;0;18.638;15.265;1.368;2.005;15.948;58.759;29.130;29.629
General Roca;13.783;31;0;13.752;11.340;1.276;1.136;11.608;35.645;18.041;17.604
General San Martín;50.327;68;23;50.236;40.341;4.228;5.667;41.871;127.454;62.417;65.037
Ischilín;10.737;24;1;10.712;8.389;1.020;1.303;8.734;31.312;15.159;16.153
Juárez Celman;22.887;52;2;22.833;19.211;1.721;1.901;19.745;61.078;30.490;30.588
Marcos Juárez;40.975;100;1;40.874;34.404;2.384;4.086;35.476;104.205;50.972;53.233
Minas;2.111;6;0;2.105;1.447;251;407;1.495;4.727;2.433;2.294
Pocho;2.333;6;0;2.327;1.563;304;460;1.611;5.380;2.769;2.611
Presidente Roque Sáenz Peña;14.394;44;0;14.350;11.895;1.154;1.301;12.111;36.282;17.905;18.377
Punilla;81.787;884;10;80.893;52.983;7.801;20.109;55.253;178.401;85.270;93.131
Río Cuarto;100.468;219;3;100.246;78.485;10.203;11.558;80.878;246.393;119.713;126.680
Río Primero;16.576;23;0;16.553;13.142;1.394;2.017;13.652;46.675;23.230;23.445
Río Seco;5.063;12;0;5.051;3.688;536;827;3.846;13.242;6.710;6.532
Río Segundo;36.686;64;0;36.622;30.976;2.257;3.389;32.090;103.718;50.613;53.105
San Alberto;14.997;348;0;14.649;9.816;1.367;3.466;10.320;37.004;18.339;18.665
San Javier;19.427;124;2;19.301;15.006;1.360;2.935;15.855;53.520;26.006;27.514
San Justo;76.650;164;5;76.481;64.404;4.347;7.730;66.832;206.307;101.224;105.083
Santa María;35.914;130;1;35.783;26.707;2.585;6.491;28.144;98.188;49.230;48.958
Sobremonte;1.655;17;0;1.638;1.233;196;209;1.311;4.591;2.378;2.213
Tercero Arriba;42.533;102;2;42.429;35.121;3.091;4.217;36.058;109.554;53.148;56.406
Totoral;6.746;30;3;6.713;5.142;610;961;5.363;18.556;9.319;9.237
Tulumba;5.576;12;1;5.563;3.944;713;906;4.041;12.673;6.496;6.177
Unión;40.764;88;3;40.673;33.807;2.920;3.946;34.669;105.727;52.249;53.478
Fuente: Elaboración propia con base en Censo Nacional de Población, Hogares y Viviendas 2010 (INDEC) - Procesado con Redatam+SP, CEPAL/CELADE;;;;;;;;;;;
Dirección de Estadísticas Socio-demográficas;;;;;;;;;;;
Dirección General de Estadística y Censos de la Provincia de Córdoba;;;;;;;;;;;
;;;;;;;
Provincia de Córdoba según departamentos. Población total y variación intercensal absoluta y relativa. Años 2001 - 2010;;;;;;;
Departamento;Población;;Variación absoluta;Variación relativa (%);;;
;2001;2010;;;;;
Total Provincial;3.066.801;3.308.876;242.075;7,9;;;
Calamuchita;45.418;54.730;9.312;20,5;;;
Capital;1.284.582;1.329.604;45.022;3,5;;;
Colón;171.067;225.151;54.084;31,6;;;
Cruz del Eje;52.172;58.759;6.587;12,6;;;
General Roca;33.323;35.645;2.322;7,0;;;
General San Martín;116.107;127.454;11.347;9,8;;;
Ischilín;30.105;31.312;1.207;4,0;;;
Juárez Celman;55.348;61.078;5.730;10,4;;;
Marcos Juárez;99.761;104.205;4.444;4,5;;;
Minas;4.881;4.727;-154;-3,2;;;
Pocho;5.132;5.380;248;4,8;;;
Presidente Roque Sáenz Peña;34.647;36.282;1.635;4,7;;;
Punilla;155.124;178.401;23.277;15,0;;;
Río Cuarto;229.728;246.393;16.665;7,3;;;
Río Primero;42.429;46.675;4.246;10,0;;;
Río Seco;12.635;13.242;607;4,8;;;
Río Segundo;95.803;103.718;7.915;8,3;;;
San Alberto;32.395;37.004;4.609;14,2;;;
San Javier;48.951;53.520;4.569;9,3;;;
San Justo;190.182;206.307;16.125;8,5;;;
Santa María;86.083;98.188;12.105;14,1;;;
Sobremonte;4.531;4.591;60;1,3;;;
Tercero Arriba;107.460;109.554;2.094;1,9;;;
Totoral;16.479;18.556;2.077;12,6;;;
Tulumba;12.211;12.673;462;3,8;;;
Unión;100.247;105.727;5.480;5,5;;;
Fuente: Elaboración propia con base en Censo Nacional de Población, Hogares y Viviendas 2010 (INDEC) - ;;;;;;;
Procesado con Redatam+SP, CEPAL/CELADE;;;;;;;
Dirección de Estadísticas Socio-demográficas;;;;;;;
Dirección General de Estadística y Censos de la Provincia de Córdoba;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Provincia de Córdoba según departamentos. Población total por sexo y edades simples. Año 2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edad ;Población total;Provincia de Córdoba;;;Total Población Calamuchita;Calamuchita;;;Total Población Capital;Capital;;;Total Población Colón;Colón;;;Total Población Cruz del Eje;Cruz del Eje;;;Total Población Gral. Roca;General Roca;;;Total Población Gral. San Martín;General San Martín;;;Total Población Ischilín;Ischilín;;;Total Población Juárez Celman;Juárez Celman;;;Total Población Marcos Juárez;Marcos Juárez;;;Total Población Minas;Minas;;;Total Población Pocho;Pocho;;;Total Población Pdte. Roque Saenz Peña;Presidente Roque Sáenz Peña;;;Total Población Punilla;Punilla;;;Total Población Río Cuarto;Río Cuarto;;;Total Población Río Primero;Río Primero;;;Total Población Río Seco ;Río Seco;;;Total Población Río Segundo ;Rio Segundo;;;Total Población San Alberto;San Alberto;;;Total Población San Javier;San Javier;;;Total Población San Justo;San Justo;;;Total Población Santa María;Santa María;;;Total Población Sobremonte;Sobremonte;;;Total Población Tercero Arriba ;Tercero Arriba;;;Total Población Totoral;Totoral;;;Total Población Tulumba;Tulumba;;;Total Población Unión;Unión;;;;;;;;;;;;;
;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;Sexo;;Índice de masculinidad;;;;;;;;;;;
;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;Varones;Mujeres;;;;;;;;;;;;
Total;3.308.876;1.605.088;1.703.788;94,2;54.730;27.330;27.400;99,7;1.329.604;634.341;695.263;91,2;225.151;110.176;114.975;95,8;58.759;29.130;29.629;98,3;35.645;18.041;17.604;102,5;127.454;62.417;65.037;96,0;31.312;15.159;16.153;93,8;61.078;30.490;30.588;99,7;104.205;50.972;53.233;95,8;4.727;2.433;2.294;106,1;5.380;2.769;2.611;106,1;36.282;17.905;18.377;97,4;178.401;85.270;93.131;91,6;246.393;119.713;126.680;94,5;46.675;23.230;23.445;99,1;13.242;6.710;6.532;102,7;103.718;50.613;53.105;95,3;37.004;18.339;18.665;98,3;53.520;26.006;27.514;94,5;206.307;101.224;105.083;96,3;98.188;49.230;48.958;100,6;4.591;2.378;2.213;107,5;109.554;53.148;56.406;94,2;18.556;9.319;9.237;100,9;12.673;6.496;6.177;105,2;105.727;52.249;53.478;97,7;;;;;;;;;;;
0;52.789;26.919;25.870;104,1;811;411;400;102,8;21.721;11.027;10.694;103,1;4.135;2.186;1.949;112,2;998;505;493;102,4;510;261;249;104,8;2.078;1.084;994;109,1;536;265;271;97,8;991;499;492;101,4;1.495;790;705;112,1;75;42;33;127,3;85;44;41;107,3;521;257;264;97,3;2.505;1.244;1.261;98,7;3.804;1.903;1.901;100,1;791;385;406;94,8;228;119;109;109,2;1.516;797;719;110,8;597;307;290;105,9;773;377;396;95,2;3.195;1.671;1.524;109,6;1.581;774;807;95,9;78;36;42;85,7;1.580;813;767;106,0;333;157;176;89,2;213;119;94;126,6;1.639;846;793;106,7;;;;;;;;;;;
1;52.957;26.884;26.073;103,1;842;439;403;108,9;21.556;10.895;10.661;102,2;4.114;2.036;2.078;98,0;959;492;467;105,4;599;291;308;94,5;2.026;1.042;984;105,9;564;299;265;112,8;955;497;458;108,5;1.380;690;690;100,0;62;37;25;148,0;81;40;41;97,6;581;306;275;111,3;2.637;1.369;1.268;108,0;3.782;1.948;1.834;106,2;866;445;421;105,7;243;121;122;99,2;1.605;816;789;103,4;593;305;288;105,9;837;394;443;88,9;3.263;1.645;1.618;101,7;1.596;803;793;101,3;75;37;38;97,4;1.619;859;760;113,0;347;176;171;102,9;212;99;113;87,6;1.563;803;760;105,7;;;;;;;;;;;
2;53.279;27.031;26.248;103,0;925;464;461;100,7;21.198;10.751;10.447;102,9;4.332;2.149;2.183;98,4;997;497;500;99,4;594;311;283;109,9;2.125;1.077;1.048;102,8;568;294;274;107,3;989;526;463;113,6;1.471;747;724;103,2;79;42;37;113,5;105;55;50;110,0;567;269;298;90,3;2.560;1.296;1.264;102,5;3.788;1.971;1.817;108,5;784;412;372;110,8;243;139;104;133,7;1.637;855;782;109,3;626;313;313;100,0;821;407;414;98,3;3.422;1.739;1.683;103,3;1.602;815;787;103,6;65;29;36;80,6;1.685;839;846;99,2;332;175;157;111,5;196;100;96;104,2;1.568;759;809;93,8;;;;;;;;;;;
3;50.754;25.760;24.994;103,1;866;472;394;119,8;20.200;10.194;10.006;101,9;4.023;2.102;1.921;109,4;953;463;490;94,5;567;286;281;101,8;1.960;984;976;100,8;578;289;289;100,0;923;450;473;95,1;1.370;691;679;101,8;74;37;37;100,0;87;45;42;107,1;552;293;259;113,1;2.542;1.285;1.257;102,2;3.647;1.865;1.782;104,7;801;411;390;105,4;264;133;131;101,5;1.511;785;726;108,1;531;279;252;110,7;859;420;439;95,7;3.155;1.576;1.579;99,8;1.603;813;790;102,9;89;42;47;89,4;1.525;809;716;113,0;312;150;162;92,6;172;92;80;115,0;1.590;794;796;99,7;;;;;;;;;;;
4;51.889;26.350;25.539;103,2;862;456;406;112,3;20.338;10.301;10.037;102,6;4.161;2.137;2.024;105,6;986;483;503;96,0;577;297;280;106,1;2.012;1.054;958;110,0;633;333;300;111,0;1.022;522;500;104,4;1.505;768;737;104,2;64;35;29;120,7;68;39;29;134,5;533;270;263;102,7;2.621;1.316;1.305;100,8;3.637;1.811;1.826;99,2;804;404;400;101,0;241;125;116;107,8;1.620;793;827;95,9;618;330;288;114,6;844;419;425;98,6;3.419;1.706;1.713;99,6;1.577;827;750;110,3;70;34;36;94,4;1.608;838;770;108,8;305;142;163;87,1;206;118;88;134,1;1.558;792;766;103,4;;;;;;;;;;;
5;53.015;26.858;26.157;102,7;915;467;448;104,2;20.647;10.416;10.231;101,8;4.224;2.170;2.054;105,6;1.036;529;507;104,3;579;287;292;98,3;2.041;1.030;1.011;101,9;559;289;270;107,0;973;518;455;113,8;1.388;710;678;104,7;94;56;38;147,4;104;58;46;126,1;603;288;315;91,4;2.696;1.350;1.346;100,3;3.783;1.968;1.815;108,4;829;406;423;96,0;255;125;130;96,2;1.714;860;854;100,7;652;331;321;103,1;893;476;417;114,1;3.390;1.696;1.694;100,1;1.681;852;829;102,8;75;29;46;63,0;1.686;873;813;107,4;351;169;182;92,9;215;112;103;108,7;1.632;793;839;94,5;;;;;;;;;;;
6;53.033;26.960;26.073;103,4;894;451;443;101,8;20.365;10.310;10.055;102,5;4.274;2.193;2.081;105,4;1.021;531;490;108,4;594;293;301;97,3;2.007;1.056;951;111,0;605;290;315;92,1;1.010;518;492;105,3;1.555;797;758;105,1;86;36;50;72,0;92;43;49;87,8;653;328;325;100,9;2.763;1.413;1.350;104,7;3.758;1.886;1.872;100,7;823;421;402;104,7;269;127;142;89,4;1.624;849;775;109,5;639;335;304;110,2;946;487;459;106,1;3.298;1.690;1.608;105,1;1.718;900;818;110,0;95;44;51;86,3;1.703;873;830;105,2;337;162;175;92,6;232;111;121;91,7;1.672;816;856;95,3;;;;;;;;;;;
